77029,"The Beatles","United Kingdom",1962-10-30,2013-12-08
billboard-us,22,1964-12-05,ms000031,"I Feel Fine"
billboard-us,5,1964-12-12,ms000031,"I Feel Fine"
billboard-us,2,1964-12-19,ms000031,"I Feel Fine"
billboard-us,1,1964-12-26,ms000031,"I Feel Fine"
billboard-us,1,1965-01-02,ms000031,"I Feel Fine"
billboard-us,1,1965-01-09,ms000031,"I Feel Fine"
billboard-us,2,1965-01-16,ms000031,"I Feel Fine"
billboard-us,4,1965-01-23,ms000031,"I Feel Fine"
billboard-us,11,1965-01-30,ms000031,"I Feel Fine"
billboard-us,22,1965-02-06,ms000031,"I Feel Fine"
billboard-us,40,1965-02-13,ms000031,"I Feel Fine"
billboard-us,46,1964-12-05,ms000078,"She's A Woman"
billboard-us,29,1964-12-12,ms000078,"She's A Woman"
billboard-us,14,1964-12-19,ms000078,"She's A Woman"
billboard-us,4,1964-12-26,ms000078,"She's A Woman"
billboard-us,4,1965-01-02,ms000078,"She's A Woman"
billboard-us,11,1965-01-09,ms000078,"She's A Woman"
billboard-us,12,1965-01-16,ms000078,"She's A Woman"
billboard-us,14,1965-01-23,ms000078,"She's A Woman"
billboard-us,37,1965-01-30,ms000078,"She's A Woman"
billboard-us,45,1967-12-02,ms000131,"Hello Goodbye"
billboard-us,8,1967-12-09,ms000131,"Hello Goodbye"
billboard-us,3,1967-12-16,ms000131,"Hello Goodbye"
billboard-us,3,1967-12-23,ms000131,"Hello Goodbye"
billboard-us,1,1967-12-30,ms000131,"Hello Goodbye"
billboard-us,1,1968-01-06,ms000131,"Hello Goodbye"
billboard-us,1,1968-01-13,ms000131,"Hello Goodbye"
billboard-us,3,1968-01-20,ms000131,"Hello Goodbye"
billboard-us,6,1968-01-27,ms000131,"Hello Goodbye"
billboard-us,12,1968-02-03,ms000131,"Hello Goodbye"
billboard-us,31,1968-02-10,ms000131,"Hello Goodbye"
billboard-us,36,1965-12-18,ms000170,"We Can Work It Out"
billboard-us,11,1965-12-25,ms000170,"We Can Work It Out"
billboard-us,2,1966-01-01,ms000170,"We Can Work It Out"
billboard-us,1,1966-01-08,ms000170,"We Can Work It Out"
billboard-us,1,1966-01-15,ms000170,"We Can Work It Out"
billboard-us,2,1966-01-22,ms000170,"We Can Work It Out"
billboard-us,1,1966-01-29,ms000170,"We Can Work It Out"
billboard-us,4,1966-02-05,ms000170,"We Can Work It Out"
billboard-us,5,1966-02-12,ms000170,"We Can Work It Out"
billboard-us,13,1966-02-19,ms000170,"We Can Work It Out"
billboard-us,24,1966-02-26,ms000170,"We Can Work It Out"
billboard-us,48,1966-03-05,ms000170,"We Can Work It Out"
billboard-us,56,1965-12-18,ms000398,"Day Tripper"
billboard-us,28,1965-12-25,ms000398,"Day Tripper"
billboard-us,18,1966-01-01,ms000398,"Day Tripper"
billboard-us,10,1966-01-08,ms000398,"Day Tripper"
billboard-us,6,1966-01-15,ms000398,"Day Tripper"
billboard-us,5,1966-01-22,ms000398,"Day Tripper"
billboard-us,13,1966-01-29,ms000398,"Day Tripper"
billboard-us,22,1966-02-05,ms000398,"Day Tripper"
billboard-us,36,1966-02-12,ms000398,"Day Tripper"
billboard-us,47,1966-02-19,ms000398,"Day Tripper"
billboard-us,10,1968-09-14,ms000409,"Hey Jude"
billboard-us,3,1968-09-21,ms000409,"Hey Jude"
billboard-us,1,1968-09-28,ms000409,"Hey Jude"
billboard-us,1,1968-10-05,ms000409,"Hey Jude"
billboard-us,1,1968-10-12,ms000409,"Hey Jude"
billboard-us,1,1968-10-19,ms000409,"Hey Jude"
billboard-us,1,1968-10-26,ms000409,"Hey Jude"
billboard-us,1,1968-11-02,ms000409,"Hey Jude"
billboard-us,1,1968-11-09,ms000409,"Hey Jude"
billboard-us,1,1968-11-16,ms000409,"Hey Jude"
billboard-us,1,1968-11-23,ms000409,"Hey Jude"
billboard-us,2,1968-11-30,ms000409,"Hey Jude"
billboard-us,2,1968-12-07,ms000409,"Hey Jude"
billboard-us,6,1968-12-14,ms000409,"Hey Jude"
billboard-us,11,1968-12-21,ms000409,"Hey Jude"
billboard-us,15,1968-12-28,ms000409,"Hey Jude"
billboard-us,23,1969-01-04,ms000409,"Hey Jude"
billboard-us,30,1969-01-11,ms000409,"Hey Jude"
billboard-us,38,1969-01-18,ms000409,"Hey Jude"
billboard-us,23,1969-10-18,ms000664,"Come Together"
billboard-us,13,1969-10-25,ms000664,"Come Together"
billboard-us,10,1969-11-01,ms000664,"Come Together"
billboard-us,3,1969-11-08,ms000664,"Come Together"
billboard-us,2,1969-11-15,ms000664,"Come Together"
billboard-us,7,1969-11-22,ms000664,"Come Together"
billboard-us,1,1969-11-29,ms000664,"Come Together"
billboard-us,3,1969-12-06,ms000664,"Come Together"
billboard-us,4,1969-12-13,ms000664,"Come Together"
billboard-us,6,1969-12-20,ms000664,"Come Together"
billboard-us,7,1969-12-27,ms000664,"Come Together"
billboard-us,12,1970-01-03,ms000664,"Come Together"
billboard-us,16,1970-01-10,ms000664,"Come Together"
billboard-us,20,1970-01-17,ms000664,"Come Together"
billboard-us,22,1970-01-24,ms000664,"Come Together"
billboard-us,29,1970-01-31,ms000664,"Come Together"
billboard-us,20,1969-10-18,ms000677,Something
billboard-us,11,1969-10-25,ms000677,Something
billboard-us,11,1969-11-01,ms000677,Something
billboard-us,9,1969-11-08,ms000677,Something
billboard-us,3,1969-11-15,ms000677,Something
billboard-us,3,1969-11-22,ms000677,Something
billboard-us,1,1969-11-29,ms000677,Something
billboard-us,3,1969-12-06,ms000677,Something
billboard-us,4,1969-12-13,ms000677,Something
billboard-us,6,1969-12-20,ms000677,Something
billboard-us,7,1969-12-27,ms000677,Something
billboard-us,12,1970-01-03,ms000677,Something
billboard-us,16,1970-01-10,ms000677,Something
billboard-us,20,1970-01-17,ms000677,Something
billboard-us,22,1970-01-24,ms000677,Something
billboard-us,29,1970-01-31,ms000677,Something
billboard-us,64,1967-12-09,ms001173,"I Am The Walrus"
billboard-us,57,1967-12-16,ms001173,"I Am The Walrus"
billboard-us,56,1967-12-23,ms001173,"I Am The Walrus"
billboard-us,75,1967-12-30,ms001173,"I Am The Walrus"
billboard-us,45,1965-09-25,ms002171,Yesterday
billboard-us,3,1965-10-02,ms002171,Yesterday
billboard-us,1,1965-10-09,ms002171,Yesterday
billboard-us,1,1965-10-16,ms002171,Yesterday
billboard-us,1,1965-10-23,ms002171,Yesterday
billboard-us,1,1965-10-30,ms002171,Yesterday
billboard-us,3,1965-11-06,ms002171,Yesterday
billboard-us,11,1965-11-13,ms002171,Yesterday
billboard-us,13,1965-11-20,ms002171,Yesterday
billboard-us,26,1965-11-27,ms002171,Yesterday
billboard-us,45,1965-12-04,ms002171,Yesterday
billboard-us,87,1965-09-25,ms003145,"Act Naturally"
billboard-us,72,1965-10-02,ms003145,"Act Naturally"
billboard-us,51,1965-10-09,ms003145,"Act Naturally"
billboard-us,49,1965-10-16,ms003145,"Act Naturally"
billboard-us,47,1965-10-23,ms003145,"Act Naturally"
billboard-us,47,1965-10-30,ms003145,"Act Naturally"
billboard-us,54,1965-11-06,ms003145,"Act Naturally"
billboard-us,41,1965-08-07,ms003290,Help!
billboard-us,14,1965-08-14,ms003290,Help!
billboard-us,3,1965-08-21,ms003290,Help!
billboard-us,2,1965-08-28,ms003290,Help!
billboard-us,1,1965-09-04,ms003290,Help!
billboard-us,1,1965-09-11,ms003290,Help!
billboard-us,1,1965-09-18,ms003290,Help!
billboard-us,5,1965-09-25,ms003290,Help!
billboard-us,11,1965-10-02,ms003290,Help!
billboard-us,15,1965-10-09,ms003290,Help!
billboard-us,22,1965-10-16,ms003290,Help!
billboard-us,29,1965-10-23,ms003290,Help!
billboard-us,32,1965-10-30,ms003290,Help!
billboard-us,81,1964-09-05,ms003543,Matchbox
billboard-us,42,1964-09-12,ms003543,Matchbox
billboard-us,32,1964-09-19,ms003543,Matchbox
billboard-us,23,1964-09-26,ms003543,Matchbox
billboard-us,18,1964-10-03,ms003543,Matchbox
billboard-us,18,1964-10-10,ms003543,Matchbox
billboard-us,17,1964-10-17,ms003543,Matchbox
billboard-us,52,1964-10-24,ms003543,Matchbox
billboard-us,99,1964-09-05,ms003668,"Slow Down"
billboard-us,67,1964-09-12,ms003668,"Slow Down"
billboard-us,43,1964-09-19,ms003668,"Slow Down"
billboard-us,32,1964-09-26,ms003668,"Slow Down"
billboard-us,27,1964-10-03,ms003668,"Slow Down"
billboard-us,25,1964-10-10,ms003668,"Slow Down"
billboard-us,39,1964-10-17,ms003668,"Slow Down"
billboard-us,52,1966-08-20,ms003765,"Yellow Submarine"
billboard-us,8,1966-08-27,ms003765,"Yellow Submarine"
billboard-us,5,1966-09-03,ms003765,"Yellow Submarine"
billboard-us,3,1966-09-10,ms003765,"Yellow Submarine"
billboard-us,2,1966-09-17,ms003765,"Yellow Submarine"
billboard-us,4,1966-09-24,ms003765,"Yellow Submarine"
billboard-us,8,1966-10-01,ms003765,"Yellow Submarine"
billboard-us,16,1966-10-08,ms003765,"Yellow Submarine"
billboard-us,32,1966-10-15,ms003765,"Yellow Submarine"
billboard-us,65,1966-08-27,ms003779,"Eleanor Rigby"
billboard-us,47,1966-09-03,ms003779,"Eleanor Rigby"
billboard-us,26,1966-09-10,ms003779,"Eleanor Rigby"
billboard-us,14,1966-09-17,ms003779,"Eleanor Rigby"
billboard-us,11,1966-09-24,ms003779,"Eleanor Rigby"
billboard-us,11,1966-10-01,ms003779,"Eleanor Rigby"
billboard-us,21,1966-10-08,ms003779,"Eleanor Rigby"
billboard-us,37,1966-10-15,ms003779,"Eleanor Rigby"
billboard-us,21,1964-07-18,ms003956,"A Hard Day's Night"
billboard-us,2,1964-07-25,ms003956,"A Hard Day's Night"
billboard-us,1,1964-08-01,ms003956,"A Hard Day's Night"
billboard-us,1,1964-08-08,ms003956,"A Hard Day's Night"
billboard-us,3,1964-08-15,ms003956,"A Hard Day's Night"
billboard-us,3,1964-08-22,ms003956,"A Hard Day's Night"
billboard-us,4,1964-08-29,ms003956,"A Hard Day's Night"
billboard-us,8,1964-09-05,ms003956,"A Hard Day's Night"
billboard-us,8,1964-09-12,ms003956,"A Hard Day's Night"
billboard-us,12,1964-09-19,ms003956,"A Hard Day's Night"
billboard-us,19,1964-09-26,ms003956,"A Hard Day's Night"
billboard-us,24,1964-10-03,ms003956,"A Hard Day's Night"
billboard-us,50,1964-10-10,ms003956,"A Hard Day's Night"
billboard-us,92,1964-08-01,ms004367,"If I Fell"
billboard-us,87,1964-08-08,ms004367,"If I Fell"
billboard-us,72,1964-08-15,ms004367,"If I Fell"
billboard-us,57,1964-08-22,ms004367,"If I Fell"
billboard-us,54,1964-08-29,ms004367,"If I Fell"
billboard-us,53,1964-09-05,ms004367,"If I Fell"
billboard-us,59,1964-09-12,ms004367,"If I Fell"
billboard-us,55,1964-09-19,ms004367,"If I Fell"
billboard-us,59,1964-09-26,ms004367,"If I Fell"
billboard-us,80,1964-07-25,ms004432,"And I Love Her"
billboard-us,65,1964-08-01,ms004432,"And I Love Her"
billboard-us,40,1964-08-08,ms004432,"And I Love Her"
billboard-us,27,1964-08-15,ms004432,"And I Love Her"
billboard-us,17,1964-08-22,ms004432,"And I Love Her"
billboard-us,13,1964-08-29,ms004432,"And I Love Her"
billboard-us,12,1964-09-05,ms004432,"And I Love Her"
billboard-us,12,1964-09-12,ms004432,"And I Love Her"
billboard-us,28,1964-09-19,ms004432,"And I Love Her"
billboard-us,62,1964-08-01,ms004656,"I'll Cry Instead"
billboard-us,44,1964-08-08,ms004656,"I'll Cry Instead"
billboard-us,34,1964-08-15,ms004656,"I'll Cry Instead"
billboard-us,29,1964-08-22,ms004656,"I'll Cry Instead"
billboard-us,25,1964-08-29,ms004656,"I'll Cry Instead"
billboard-us,34,1964-09-05,ms004656,"I'll Cry Instead"
billboard-us,36,1964-09-12,ms004656,"I'll Cry Instead"
billboard-us,90,1964-07-18,ms004661,"Ain't She Sweet"
billboard-us,67,1964-07-25,ms004661,"Ain't She Sweet"
billboard-us,40,1964-08-01,ms004661,"Ain't She Sweet"
billboard-us,25,1964-08-08,ms004661,"Ain't She Sweet"
billboard-us,22,1964-08-15,ms004661,"Ain't She Sweet"
billboard-us,19,1964-08-22,ms004661,"Ain't She Sweet"
billboard-us,24,1964-08-29,ms004661,"Ain't She Sweet"
billboard-us,30,1964-09-05,ms004661,"Ain't She Sweet"
billboard-us,37,1964-09-12,ms004661,"Ain't She Sweet"
billboard-us,71,1967-07-22,ms004877,"All You Need Is Love"
billboard-us,29,1967-07-29,ms004877,"All You Need Is Love"
billboard-us,3,1967-08-05,ms004877,"All You Need Is Love"
billboard-us,2,1967-08-12,ms004877,"All You Need Is Love"
billboard-us,1,1967-08-19,ms004877,"All You Need Is Love"
billboard-us,2,1967-08-26,ms004877,"All You Need Is Love"
billboard-us,2,1967-09-02,ms004877,"All You Need Is Love"
billboard-us,6,1967-09-09,ms004877,"All You Need Is Love"
billboard-us,8,1967-09-16,ms004877,"All You Need Is Love"
billboard-us,24,1967-09-23,ms004877,"All You Need Is Love"
billboard-us,48,1967-09-30,ms004877,"All You Need Is Love"
billboard-us,38,1968-09-14,ms005364,Revolution
billboard-us,12,1968-09-21,ms005364,Revolution
billboard-us,12,1968-09-28,ms005364,Revolution
billboard-us,12,1968-10-05,ms005364,Revolution
billboard-us,15,1968-10-12,ms005364,Revolution
billboard-us,17,1968-10-19,ms005364,Revolution
billboard-us,17,1968-10-26,ms005364,Revolution
billboard-us,19,1968-11-02,ms005364,Revolution
billboard-us,19,1968-11-09,ms005364,Revolution
billboard-us,20,1968-11-16,ms005364,Revolution
billboard-us,29,1968-11-23,ms005364,Revolution
billboard-us,75,1964-07-25,ms005437,"I Should Have Known Better"
billboard-us,66,1964-08-01,ms005437,"I Should Have Known Better"
billboard-us,59,1964-08-08,ms005437,"I Should Have Known Better"
billboard-us,53,1964-08-15,ms005437,"I Should Have Known Better"
billboard-us,28,1966-06-11,ms005754,"Paperback Writer"
billboard-us,15,1966-06-18,ms005754,"Paperback Writer"
billboard-us,1,1966-06-25,ms005754,"Paperback Writer"
billboard-us,2,1966-07-02,ms005754,"Paperback Writer"
billboard-us,1,1966-07-09,ms005754,"Paperback Writer"
billboard-us,5,1966-07-16,ms005754,"Paperback Writer"
billboard-us,6,1966-07-23,ms005754,"Paperback Writer"
billboard-us,12,1966-07-30,ms005754,"Paperback Writer"
billboard-us,18,1966-08-06,ms005754,"Paperback Writer"
billboard-us,37,1966-08-13,ms005754,"Paperback Writer"
billboard-us,64,1967-07-29,ms005858,"Baby You're A Rich Man"
billboard-us,41,1967-08-05,ms005858,"Baby You're A Rich Man"
billboard-us,34,1967-08-12,ms005858,"Baby You're A Rich Man"
billboard-us,38,1967-08-19,ms005858,"Baby You're A Rich Man"
billboard-us,41,1967-08-26,ms005858,"Baby You're A Rich Man"
billboard-us,95,1964-08-01,ms005966,"I'm Happy Just To Dance With You"
billboard-us,72,1966-06-11,ms006272,Rain
billboard-us,42,1966-06-18,ms006272,Rain
billboard-us,29,1966-06-25,ms006272,Rain
billboard-us,24,1966-07-02,ms006272,Rain
billboard-us,23,1966-07-09,ms006272,Rain
billboard-us,23,1966-07-16,ms006272,Rain
billboard-us,34,1966-07-23,ms006272,Rain
billboard-us,71,1969-06-14,ms006377,"The Ballad Of John And Yoko"
billboard-us,24,1969-06-21,ms006377,"The Ballad Of John And Yoko"
billboard-us,11,1969-06-28,ms006377,"The Ballad Of John And Yoko"
billboard-us,11,1969-07-05,ms006377,"The Ballad Of John And Yoko"
billboard-us,8,1969-07-12,ms006377,"The Ballad Of John And Yoko"
billboard-us,8,1969-07-19,ms006377,"The Ballad Of John And Yoko"
billboard-us,8,1969-07-26,ms006377,"The Ballad Of John And Yoko"
billboard-us,10,1969-08-02,ms006377,"The Ballad Of John And Yoko"
billboard-us,29,1969-08-09,ms006377,"The Ballad Of John And Yoko"
billboard-us,81,1964-04-11,ms006421,"Love Me Do"
billboard-us,73,1964-04-18,ms006421,"Love Me Do"
billboard-us,67,1964-04-25,ms006421,"Love Me Do"
billboard-us,32,1964-05-02,ms006421,"Love Me Do"
billboard-us,12,1964-05-09,ms006421,"Love Me Do"
billboard-us,3,1964-05-16,ms006421,"Love Me Do"
billboard-us,2,1964-05-23,ms006421,"Love Me Do"
billboard-us,1,1964-05-30,ms006421,"Love Me Do"
billboard-us,2,1964-06-06,ms006421,"Love Me Do"
billboard-us,4,1964-06-13,ms006421,"Love Me Do"
billboard-us,7,1964-06-20,ms006421,"Love Me Do"
billboard-us,11,1964-06-27,ms006421,"Love Me Do"
billboard-us,19,1964-07-04,ms006421,"Love Me Do"
billboard-us,24,1964-07-11,ms006421,"Love Me Do"
billboard-us,59,1965-04-24,ms006628,"Ticket To Ride"
billboard-us,18,1965-05-01,ms006628,"Ticket To Ride"
billboard-us,3,1965-05-08,ms006628,"Ticket To Ride"
billboard-us,3,1965-05-15,ms006628,"Ticket To Ride"
billboard-us,1,1965-05-22,ms006628,"Ticket To Ride"
billboard-us,2,1965-05-29,ms006628,"Ticket To Ride"
billboard-us,5,1965-06-05,ms006628,"Ticket To Ride"
billboard-us,9,1965-06-12,ms006628,"Ticket To Ride"
billboard-us,11,1965-06-19,ms006628,"Ticket To Ride"
billboard-us,20,1965-06-26,ms006628,"Ticket To Ride"
billboard-us,47,1965-07-03,ms006628,"Ticket To Ride"
billboard-us,10,1969-05-10,ms006745,"Get Back"
billboard-us,3,1969-05-17,ms006745,"Get Back"
billboard-us,1,1969-05-24,ms006745,"Get Back"
billboard-us,1,1969-05-31,ms006745,"Get Back"
billboard-us,1,1969-06-07,ms006745,"Get Back"
billboard-us,1,1969-06-14,ms006745,"Get Back"
billboard-us,1,1969-06-21,ms006745,"Get Back"
billboard-us,3,1969-06-28,ms006745,"Get Back"
billboard-us,6,1969-07-05,ms006745,"Get Back"
billboard-us,12,1969-07-12,ms006745,"Get Back"
billboard-us,16,1969-07-19,ms006745,"Get Back"
billboard-us,27,1969-07-26,ms006745,"Get Back"
billboard-us,64,1964-05-09,ms006899,"P.S. I Love You"
billboard-us,33,1964-05-16,ms006899,"P.S. I Love You"
billboard-us,15,1964-05-23,ms006899,"P.S. I Love You"
billboard-us,11,1964-05-30,ms006899,"P.S. I Love You"
billboard-us,10,1964-06-06,ms006899,"P.S. I Love You"
billboard-us,15,1964-06-13,ms006899,"P.S. I Love You"
billboard-us,22,1964-06-20,ms006899,"P.S. I Love You"
billboard-us,37,1964-06-27,ms006899,"P.S. I Love You"
billboard-us,35,1970-05-23,ms006964,"For You Blue"
billboard-us,12,1970-05-30,ms006964,"For You Blue"
billboard-us,10,1970-06-06,ms006964,"For You Blue"
billboard-us,1,1970-06-13,ms006964,"For You Blue"
billboard-us,1,1970-06-20,ms006964,"For You Blue"
billboard-us,4,1970-06-27,ms006964,"For You Blue"
billboard-us,4,1970-07-04,ms006964,"For You Blue"
billboard-us,8,1970-07-11,ms006964,"For You Blue"
billboard-us,20,1970-07-18,ms006964,"For You Blue"
billboard-us,21,1970-07-25,ms006964,"For You Blue"
billboard-us,35,1970-05-23,ms006974,"The Long And Winding Road"
billboard-us,12,1970-05-30,ms006974,"The Long And Winding Road"
billboard-us,10,1970-06-06,ms006974,"The Long And Winding Road"
billboard-us,1,1970-06-13,ms006974,"The Long And Winding Road"
billboard-us,1,1970-06-20,ms006974,"The Long And Winding Road"
billboard-us,4,1970-06-27,ms006974,"The Long And Winding Road"
billboard-us,4,1970-07-04,ms006974,"The Long And Winding Road"
billboard-us,8,1970-07-11,ms006974,"The Long And Winding Road"
billboard-us,20,1970-07-18,ms006974,"The Long And Winding Road"
billboard-us,21,1970-07-25,ms006974,"The Long And Winding Road"
billboard-us,97,1964-06-13,ms006981,"Four By The Beatles"
billboard-us,97,1964-06-20,ms006981,"Four By The Beatles"
billboard-us,92,1964-06-27,ms006981,"Four By The Beatles"
billboard-us,97,1964-06-27,ms006991,"Sie Liebt Dich (She Loves You)"
billboard-us,78,1964-03-28,ms007451,"Do You Want To Know A Secret"
billboard-us,46,1964-04-04,ms007451,"Do You Want To Know A Secret"
billboard-us,14,1964-04-11,ms007451,"Do You Want To Know A Secret"
billboard-us,5,1964-04-18,ms007451,"Do You Want To Know A Secret"
billboard-us,3,1964-04-25,ms007451,"Do You Want To Know A Secret"
billboard-us,3,1964-05-02,ms007451,"Do You Want To Know A Secret"
billboard-us,2,1964-05-09,ms007451,"Do You Want To Know A Secret"
billboard-us,5,1964-05-16,ms007451,"Do You Want To Know A Secret"
billboard-us,12,1964-05-23,ms007451,"Do You Want To Know A Secret"
billboard-us,19,1964-05-30,ms007451,"Do You Want To Know A Secret"
billboard-us,36,1964-06-06,ms007451,"Do You Want To Know A Secret"
billboard-us,27,1964-03-28,ms007596,"Can't Buy Me Love"
billboard-us,1,1964-04-04,ms007596,"Can't Buy Me Love"
billboard-us,1,1964-04-11,ms007596,"Can't Buy Me Love"
billboard-us,1,1964-04-18,ms007596,"Can't Buy Me Love"
billboard-us,1,1964-04-25,ms007596,"Can't Buy Me Love"
billboard-us,1,1964-05-02,ms007596,"Can't Buy Me Love"
billboard-us,5,1964-05-09,ms007596,"Can't Buy Me Love"
billboard-us,11,1964-05-16,ms007596,"Can't Buy Me Love"
billboard-us,23,1964-05-23,ms007596,"Can't Buy Me Love"
billboard-us,42,1964-05-30,ms007596,"Can't Buy Me Love"
billboard-us,55,1964-03-14,ms007771,"Twist And Shout"
billboard-us,7,1964-03-21,ms007771,"Twist And Shout"
billboard-us,3,1964-03-28,ms007771,"Twist And Shout"
billboard-us,2,1964-04-04,ms007771,"Twist And Shout"
billboard-us,2,1964-04-11,ms007771,"Twist And Shout"
billboard-us,2,1964-04-18,ms007771,"Twist And Shout"
billboard-us,2,1964-04-25,ms007771,"Twist And Shout"
billboard-us,7,1964-05-02,ms007771,"Twist And Shout"
billboard-us,11,1964-05-09,ms007771,"Twist And Shout"
billboard-us,20,1964-05-16,ms007771,"Twist And Shout"
billboard-us,41,1964-05-23,ms007771,"Twist And Shout"
billboard-us,89,1986-08-09,ms007771,"Twist And Shout"
billboard-us,65,1986-08-16,ms007771,"Twist And Shout"
billboard-us,55,1986-08-23,ms007771,"Twist And Shout"
billboard-us,39,1986-08-30,ms007771,"Twist And Shout"
