77323,"Bee Gees",Australia,1967-05-02,2001-08-16
billboard-us,74,1967-11-11,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,52,1967-11-18,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,37,1967-11-25,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,20,1967-12-02,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,11,1967-12-09,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,11,1967-12-16,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,20,1967-12-23,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,27,1967-12-30,ms000472,"(The Lights Went Out In) Massachusetts"
billboard-us,61,1968-12-21,ms000751,"I Started A Joke"
billboard-us,41,1968-12-28,ms000751,"I Started A Joke"
billboard-us,40,1969-01-04,ms000751,"I Started A Joke"
billboard-us,19,1969-01-11,ms000751,"I Started A Joke"
billboard-us,16,1969-01-18,ms000751,"I Started A Joke"
billboard-us,9,1969-01-25,ms000751,"I Started A Joke"
billboard-us,7,1969-02-01,ms000751,"I Started A Joke"
billboard-us,6,1969-02-08,ms000751,"I Started A Joke"
billboard-us,13,1969-02-15,ms000751,"I Started A Joke"
billboard-us,16,1969-02-22,ms000751,"I Started A Joke"
billboard-us,33,1969-03-01,ms000751,"I Started A Joke"
billboard-us,81,1970-12-05,ms001047,"Lonely Days"
billboard-us,56,1970-12-12,ms001047,"Lonely Days"
billboard-us,41,1970-12-19,ms001047,"Lonely Days"
billboard-us,26,1970-12-26,ms001047,"Lonely Days"
billboard-us,21,1971-01-02,ms001047,"Lonely Days"
billboard-us,9,1971-01-09,ms001047,"Lonely Days"
billboard-us,6,1971-01-16,ms001047,"Lonely Days"
billboard-us,4,1971-01-23,ms001047,"Lonely Days"
billboard-us,3,1971-01-30,ms001047,"Lonely Days"
billboard-us,4,1971-02-06,ms001047,"Lonely Days"
billboard-us,5,1971-02-13,ms001047,"Lonely Days"
billboard-us,10,1971-02-20,ms001047,"Lonely Days"
billboard-us,22,1971-02-27,ms001047,"Lonely Days"
billboard-us,41,1971-03-06,ms001047,"Lonely Days"
billboard-us,63,1972-11-18,ms002320,Alive
billboard-us,54,1972-11-25,ms002320,Alive
billboard-us,37,1972-12-02,ms002320,Alive
billboard-us,35,1972-12-09,ms002320,Alive
billboard-us,34,1972-12-16,ms002320,Alive
billboard-us,36,1972-12-23,ms002320,Alive
billboard-us,42,1972-12-30,ms002320,Alive
billboard-us,84,1967-09-30,ms002850,Holiday
billboard-us,58,1967-10-07,ms002850,Holiday
billboard-us,46,1967-10-14,ms002850,Holiday
billboard-us,33,1967-10-21,ms002850,Holiday
billboard-us,26,1967-10-28,ms002850,Holiday
billboard-us,21,1967-11-04,ms002850,Holiday
billboard-us,16,1967-11-11,ms002850,Holiday
billboard-us,16,1967-11-18,ms002850,Holiday
billboard-us,45,1967-11-25,ms002850,Holiday
billboard-us,83,1971-10-23,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,64,1971-10-30,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,56,1971-11-06,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,55,1971-11-13,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,53,1971-11-20,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,55,1971-11-27,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,64,1971-12-04,ms003098,"Don't Wanna Live Inside Myself"
billboard-us,92,1969-09-20,ms004239,"Don't Forget To Remember"
billboard-us,73,1969-09-27,ms004239,"Don't Forget To Remember"
billboard-us,73,1969-10-04,ms004239,"Don't Forget To Remember"
billboard-us,73,1971-06-26,ms004628,"How Can You Mend A Broken Heart"
billboard-us,39,1971-07-03,ms004628,"How Can You Mend A Broken Heart"
billboard-us,16,1971-07-10,ms004628,"How Can You Mend A Broken Heart"
billboard-us,9,1971-07-17,ms004628,"How Can You Mend A Broken Heart"
billboard-us,8,1971-07-24,ms004628,"How Can You Mend A Broken Heart"
billboard-us,6,1971-07-31,ms004628,"How Can You Mend A Broken Heart"
billboard-us,1,1971-08-07,ms004628,"How Can You Mend A Broken Heart"
billboard-us,1,1971-08-14,ms004628,"How Can You Mend A Broken Heart"
billboard-us,1,1971-08-21,ms004628,"How Can You Mend A Broken Heart"
billboard-us,1,1971-08-28,ms004628,"How Can You Mend A Broken Heart"
billboard-us,2,1971-09-04,ms004628,"How Can You Mend A Broken Heart"
billboard-us,6,1971-09-11,ms004628,"How Can You Mend A Broken Heart"
billboard-us,9,1971-09-18,ms004628,"How Can You Mend A Broken Heart"
billboard-us,17,1971-09-25,ms004628,"How Can You Mend A Broken Heart"
billboard-us,28,1971-10-02,ms004628,"How Can You Mend A Broken Heart"
billboard-us,83,1972-07-29,ms004653,"Run To Me"
billboard-us,61,1972-08-05,ms004653,"Run To Me"
billboard-us,49,1972-08-12,ms004653,"Run To Me"
billboard-us,43,1972-08-19,ms004653,"Run To Me"
billboard-us,37,1972-08-26,ms004653,"Run To Me"
billboard-us,27,1972-09-02,ms004653,"Run To Me"
billboard-us,20,1972-09-09,ms004653,"Run To Me"
billboard-us,19,1972-09-16,ms004653,"Run To Me"
billboard-us,16,1972-09-23,ms004653,"Run To Me"
billboard-us,16,1972-09-30,ms004653,"Run To Me"
billboard-us,34,1972-10-07,ms004653,"Run To Me"
billboard-us,57,1972-10-14,ms004653,"Run To Me"
billboard-us,79,1967-07-15,ms005381,"To Love Somebody"
billboard-us,42,1967-07-22,ms005381,"To Love Somebody"
billboard-us,32,1967-07-29,ms005381,"To Love Somebody"
billboard-us,27,1967-08-05,ms005381,"To Love Somebody"
billboard-us,22,1967-08-12,ms005381,"To Love Somebody"
billboard-us,18,1967-08-19,ms005381,"To Love Somebody"
billboard-us,17,1967-08-26,ms005381,"To Love Somebody"
billboard-us,26,1967-09-02,ms005381,"To Love Somebody"
billboard-us,37,1967-09-09,ms005381,"To Love Somebody"
billboard-us,99,1968-08-17,ms005825,"I've Gotta Get A Message To You"
billboard-us,68,1968-08-24,ms005825,"I've Gotta Get A Message To You"
billboard-us,42,1968-08-31,ms005825,"I've Gotta Get A Message To You"
billboard-us,30,1968-09-07,ms005825,"I've Gotta Get A Message To You"
billboard-us,23,1968-09-14,ms005825,"I've Gotta Get A Message To You"
billboard-us,9,1968-09-21,ms005825,"I've Gotta Get A Message To You"
billboard-us,8,1968-09-28,ms005825,"I've Gotta Get A Message To You"
billboard-us,8,1968-10-05,ms005825,"I've Gotta Get A Message To You"
billboard-us,8,1968-10-12,ms005825,"I've Gotta Get A Message To You"
billboard-us,8,1968-10-19,ms005825,"I've Gotta Get A Message To You"
billboard-us,10,1968-10-26,ms005825,"I've Gotta Get A Message To You"
billboard-us,16,1968-11-02,ms005825,"I've Gotta Get A Message To You"
billboard-us,28,1968-11-09,ms005825,"I've Gotta Get A Message To You"
billboard-us,79,1967-05-27,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,49,1967-06-03,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,26,1967-06-10,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,18,1967-06-17,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,16,1967-06-24,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,14,1967-07-01,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,42,1967-07-08,ms007195,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
billboard-us,60,1969-05-31,ms007404,"Tomorrow Tomorrow"
billboard-us,55,1969-06-07,ms007404,"Tomorrow Tomorrow"
billboard-us,54,1969-06-14,ms007404,"Tomorrow Tomorrow"
billboard-us,54,1969-06-21,ms007404,"Tomorrow Tomorrow"
billboard-us,58,1969-06-28,ms007404,"Tomorrow Tomorrow"
billboard-us,60,1969-07-05,ms007404,"Tomorrow Tomorrow"
billboard-us,94,1970-07-11,ms007498,I.O.I.O.
billboard-us,82,1969-03-22,ms008925,"First Of May"
billboard-us,62,1969-03-29,ms008925,"First Of May"
billboard-us,43,1969-04-05,ms008925,"First Of May"
billboard-us,40,1969-04-12,ms008925,"First Of May"
billboard-us,37,1969-04-19,ms008925,"First Of May"
billboard-us,37,1969-04-26,ms008925,"First Of May"
billboard-us,46,1969-05-03,ms008925,"First Of May"
billboard-us,97,1970-03-28,ms009927,"If Only I Had My Mind On Something Else"
billboard-us,91,1970-04-04,ms009927,"If Only I Had My Mind On Something Else"
billboard-us,98,1970-04-11,ms009927,"If Only I Had My Mind On Something Else"
billboard-us,83,1977-09-24,ms010280,"How Deep Is Your Love"
billboard-us,49,1977-10-01,ms010280,"How Deep Is Your Love"
billboard-us,34,1977-10-08,ms010280,"How Deep Is Your Love"
billboard-us,24,1977-10-15,ms010280,"How Deep Is Your Love"
billboard-us,20,1977-10-22,ms010280,"How Deep Is Your Love"
billboard-us,15,1977-10-29,ms010280,"How Deep Is Your Love"
billboard-us,11,1977-11-05,ms010280,"How Deep Is Your Love"
billboard-us,9,1977-11-12,ms010280,"How Deep Is Your Love"
billboard-us,6,1977-11-19,ms010280,"How Deep Is Your Love"
billboard-us,3,1977-11-26,ms010280,"How Deep Is Your Love"
billboard-us,3,1977-12-03,ms010280,"How Deep Is Your Love"
billboard-us,3,1977-12-10,ms010280,"How Deep Is Your Love"
billboard-us,2,1977-12-17,ms010280,"How Deep Is Your Love"
billboard-us,1,1977-12-24,ms010280,"How Deep Is Your Love"
billboard-us,1,1977-12-31,ms010280,"How Deep Is Your Love"
billboard-us,1,1978-01-07,ms010280,"How Deep Is Your Love"
billboard-us,2,1978-01-14,ms010280,"How Deep Is Your Love"
billboard-us,2,1978-01-21,ms010280,"How Deep Is Your Love"
billboard-us,7,1978-01-28,ms010280,"How Deep Is Your Love"
billboard-us,7,1978-02-04,ms010280,"How Deep Is Your Love"
