79702,Madonna,"United States",1983-10-29,2015-05-03
billboard-us,48,1984-11-17,ms010296,"Like A Virgin"
billboard-us,38,1984-11-24,ms010296,"Like A Virgin"
billboard-us,21,1984-12-01,ms010296,"Like A Virgin"
billboard-us,11,1984-12-08,ms010296,"Like A Virgin"
billboard-us,3,1984-12-15,ms010296,"Like A Virgin"
billboard-us,1,1984-12-22,ms010296,"Like A Virgin"
billboard-us,1,1984-12-29,ms010296,"Like A Virgin"
billboard-us,1,1985-01-05,ms010296,"Like A Virgin"
billboard-us,1,1985-01-12,ms010296,"Like A Virgin"
billboard-us,1,1985-01-19,ms010296,"Like A Virgin"
billboard-us,1,1985-01-26,ms010296,"Like A Virgin"
billboard-us,7,1985-02-02,ms010296,"Like A Virgin"
billboard-us,9,1985-02-09,ms010296,"Like A Virgin"
billboard-us,17,1985-02-16,ms010296,"Like A Virgin"
billboard-us,28,1985-02-23,ms010296,"Like A Virgin"
billboard-us,43,1985-03-02,ms010296,"Like A Virgin"
billboard-us,61,1985-03-09,ms010296,"Like A Virgin"
billboard-us,76,1985-03-16,ms010296,"Like A Virgin"
billboard-us,100,1985-03-23,ms010296,"Like A Virgin"
billboard-us,88,1983-10-29,ms010584,Holiday
billboard-us,76,1983-11-05,ms010584,Holiday
billboard-us,68,1983-11-12,ms010584,Holiday
billboard-us,60,1983-11-19,ms010584,Holiday
billboard-us,55,1983-11-26,ms010584,Holiday
billboard-us,45,1983-12-03,ms010584,Holiday
billboard-us,39,1983-12-10,ms010584,Holiday
billboard-us,33,1983-12-17,ms010584,Holiday
billboard-us,31,1983-12-24,ms010584,Holiday
billboard-us,31,1983-12-31,ms010584,Holiday
billboard-us,27,1984-01-07,ms010584,Holiday
billboard-us,25,1984-01-14,ms010584,Holiday
billboard-us,17,1984-01-21,ms010584,Holiday
billboard-us,16,1984-01-28,ms010584,Holiday
billboard-us,16,1984-02-04,ms010584,Holiday
billboard-us,22,1984-02-11,ms010584,Holiday
billboard-us,36,1984-02-18,ms010584,Holiday
billboard-us,53,1984-02-25,ms010584,Holiday
billboard-us,63,1984-03-03,ms010584,Holiday
billboard-us,87,1984-03-10,ms010584,Holiday
billboard-us,94,1984-03-17,ms010584,Holiday
billboard-us,49,1984-08-25,ms011438,"Lucky Star"
billboard-us,40,1984-09-01,ms011438,"Lucky Star"
billboard-us,27,1984-09-08,ms011438,"Lucky Star"
billboard-us,24,1984-09-15,ms011438,"Lucky Star"
billboard-us,16,1984-09-22,ms011438,"Lucky Star"
billboard-us,13,1984-09-29,ms011438,"Lucky Star"
billboard-us,8,1984-10-06,ms011438,"Lucky Star"
billboard-us,5,1984-10-13,ms011438,"Lucky Star"
billboard-us,4,1984-10-20,ms011438,"Lucky Star"
billboard-us,5,1984-10-27,ms011438,"Lucky Star"
billboard-us,6,1984-11-03,ms011438,"Lucky Star"
billboard-us,17,1984-11-10,ms011438,"Lucky Star"
billboard-us,30,1984-11-17,ms011438,"Lucky Star"
billboard-us,55,1984-11-24,ms011438,"Lucky Star"
billboard-us,86,1984-12-01,ms011438,"Lucky Star"
billboard-us,97,1984-12-08,ms011438,"Lucky Star"
billboard-us,76,1984-03-10,ms020223,Borderline
billboard-us,62,1984-03-17,ms020223,Borderline
billboard-us,54,1984-03-24,ms020223,Borderline
billboard-us,50,1984-03-31,ms020223,Borderline
billboard-us,46,1984-04-07,ms020223,Borderline
