87279,Shakira,Colombia,1997-02-09,2014-09-06
billboard-us,74,2005-11-05,ms042455,"Don't Bother"
billboard-us,81,2005-11-26,ms042455,"Don't Bother"
billboard-us,79,2005-12-03,ms042455,"Don't Bother"
billboard-us,62,2005-12-10,ms042455,"Don't Bother"
billboard-us,42,2005-12-17,ms042455,"Don't Bother"
billboard-us,52,2005-12-24,ms042455,"Don't Bother"
billboard-us,61,2005-12-31,ms042455,"Don't Bother"
billboard-us,80,2006-01-07,ms042455,"Don't Bother"
billboard-us,73,2006-01-14,ms042455,"Don't Bother"
billboard-us,34,2009-08-01,ms043663,"She Wolf"
billboard-us,41,2009-08-08,ms043663,"She Wolf"
billboard-us,21,2009-08-15,ms043663,"She Wolf"
billboard-us,13,2009-08-22,ms043663,"She Wolf"
billboard-us,12,2009-08-29,ms043663,"She Wolf"
billboard-us,12,2009-09-05,ms043663,"She Wolf"
billboard-us,12,2009-09-12,ms043663,"She Wolf"
billboard-us,12,2009-09-19,ms043663,"She Wolf"
billboard-us,11,2009-09-26,ms043663,"She Wolf"
billboard-us,13,2009-10-03,ms043663,"She Wolf"
billboard-us,13,2009-10-10,ms043663,"She Wolf"
billboard-us,17,2009-10-17,ms043663,"She Wolf"
billboard-us,31,2009-10-24,ms043663,"She Wolf"
billboard-us,32,2009-10-31,ms043663,"She Wolf"
billboard-us,33,2009-11-07,ms043663,"She Wolf"
billboard-us,47,2009-11-14,ms043663,"She Wolf"
billboard-us,48,2009-11-21,ms043663,"She Wolf"
billboard-us,52,2009-11-28,ms043663,"She Wolf"
billboard-us,65,2009-12-05,ms043663,"She Wolf"
billboard-us,41,2009-12-12,ms043663,"She Wolf"
billboard-us,68,2002-09-07,ms046093,"Objection (Tango)"
billboard-us,63,2002-09-14,ms046093,"Objection (Tango)"
billboard-us,63,2002-09-21,ms046093,"Objection (Tango)"
billboard-us,55,2002-09-28,ms046093,"Objection (Tango)"
billboard-us,55,2002-10-05,ms046093,"Objection (Tango)"
billboard-us,68,2002-10-12,ms046093,"Objection (Tango)"
billboard-us,86,2002-10-19,ms046093,"Objection (Tango)"
billboard-us,86,2002-10-26,ms046093,"Objection (Tango)"
billboard-us,90,2002-11-02,ms046093,"Objection (Tango)"
billboard-us,70,2002-03-16,ms046470,"Underneath Your Clothes"
billboard-us,56,2002-03-23,ms046470,"Underneath Your Clothes"
billboard-us,53,2002-03-30,ms046470,"Underneath Your Clothes"
billboard-us,33,2002-04-06,ms046470,"Underneath Your Clothes"
billboard-us,25,2002-04-13,ms046470,"Underneath Your Clothes"
billboard-us,21,2002-04-20,ms046470,"Underneath Your Clothes"
billboard-us,19,2002-04-27,ms046470,"Underneath Your Clothes"
billboard-us,17,2002-05-04,ms046470,"Underneath Your Clothes"
billboard-us,13,2002-05-11,ms046470,"Underneath Your Clothes"
billboard-us,9,2002-05-18,ms046470,"Underneath Your Clothes"
billboard-us,14,2002-05-25,ms046470,"Underneath Your Clothes"
billboard-us,17,2002-06-01,ms046470,"Underneath Your Clothes"
billboard-us,21,2002-06-08,ms046470,"Underneath Your Clothes"
billboard-us,29,2002-06-15,ms046470,"Underneath Your Clothes"
billboard-us,33,2002-06-22,ms046470,"Underneath Your Clothes"
billboard-us,39,2002-06-29,ms046470,"Underneath Your Clothes"
billboard-us,44,2002-07-06,ms046470,"Underneath Your Clothes"
billboard-us,56,2002-07-13,ms046470,"Underneath Your Clothes"
billboard-us,57,2002-07-20,ms046470,"Underneath Your Clothes"
billboard-us,62,2002-07-27,ms046470,"Underneath Your Clothes"
billboard-us,65,2010-05-15,ms048252,Gypsy
billboard-us,84,2010-05-22,ms048252,Gypsy
billboard-us,97,2010-05-29,ms048252,Gypsy
billboard-us,74,2001-10-27,ms061067,"Whenever, Wherever"
billboard-us,71,2001-11-03,ms061067,"Whenever, Wherever"
billboard-us,68,2001-11-10,ms061067,"Whenever, Wherever"
billboard-us,50,2001-11-17,ms061067,"Whenever, Wherever"
billboard-us,37,2001-11-24,ms061067,"Whenever, Wherever"
billboard-us,21,2001-12-01,ms061067,"Whenever, Wherever"
billboard-us,14,2001-12-08,ms061067,"Whenever, Wherever"
billboard-us,9,2001-12-15,ms061067,"Whenever, Wherever"
billboard-us,7,2001-12-22,ms061067,"Whenever, Wherever"
billboard-us,6,2001-12-29,ms061067,"Whenever, Wherever"
billboard-us,7,2002-01-05,ms061067,"Whenever, Wherever"
billboard-us,8,2002-01-12,ms061067,"Whenever, Wherever"
billboard-us,7,2002-01-19,ms061067,"Whenever, Wherever"
billboard-us,7,2002-01-26,ms061067,"Whenever, Wherever"
billboard-us,6,2002-02-02,ms061067,"Whenever, Wherever"
billboard-us,11,2002-02-09,ms061067,"Whenever, Wherever"
billboard-us,11,2002-02-16,ms061067,"Whenever, Wherever"
billboard-us,13,2002-02-23,ms061067,"Whenever, Wherever"
billboard-us,15,2002-03-02,ms061067,"Whenever, Wherever"
billboard-us,17,2002-03-09,ms061067,"Whenever, Wherever"
billboard-us,21,2002-03-16,ms061067,"Whenever, Wherever"
billboard-us,28,2002-03-23,ms061067,"Whenever, Wherever"
billboard-us,39,2002-03-30,ms061067,"Whenever, Wherever"
billboard-us,49,2002-04-06,ms061067,"Whenever, Wherever"
billboard-us,58,2014-04-12,ms080776,Empire
billboard-us,79,2014-04-19,ms080776,Empire
billboard-us,90,2014-04-26,ms080776,Empire
billboard-us,97,2014-05-03,ms080776,Empire
billboard-us,71,2014-05-10,ms080776,Empire
billboard-us,66,2014-05-17,ms080776,Empire
billboard-us,68,2014-05-24,ms080776,Empire
billboard-us,70,2014-05-31,ms080776,Empire
billboard-us,68,2014-06-07,ms080776,Empire
billboard-us,70,2014-06-14,ms080776,Empire
billboard-us,81,2014-06-21,ms080776,Empire
billboard-us,86,2014-06-28,ms080776,Empire
billboard-us,95,2014-06-07,ms081254,"Dare (La La La)"
billboard-us,75,2014-06-14,ms081254,"Dare (La La La)"
billboard-us,83,2014-06-21,ms081254,"Dare (La La La)"
billboard-us,53,2014-06-28,ms081254,"Dare (La La La)"
billboard-us,60,2014-07-05,ms081254,"Dare (La La La)"
billboard-us,77,2014-07-12,ms081254,"Dare (La La La)"
billboard-us,76,2014-07-19,ms081254,"Dare (La La La)"
billboard-us,70,2014-07-26,ms081254,"Dare (La La La)"
billboard-us,71,2014-08-02,ms081254,"Dare (La La La)"
billboard-us,98,2014-08-09,ms081254,"Dare (La La La)"
billboard-us,100,2014-09-06,ms081254,"Dare (La La La)"
top100-uk,9,2006-03-02,ms042455,"Don't Bother"
top100-uk,19,2006-03-09,ms042455,"Don't Bother"
top100-uk,32,2006-03-16,ms042455,"Don't Bother"
top100-uk,48,2006-03-23,ms042455,"Don't Bother"
top100-uk,70,2006-03-30,ms042455,"Don't Bother"
top100-uk,90,2006-04-06,ms042455,"Don't Bother"
top100-uk,25,2009-09-10,ms043663,"She Wolf"
top100-uk,5,2009-09-17,ms043663,"She Wolf"
top100-uk,4,2009-09-24,ms043663,"She Wolf"
top100-uk,4,2009-10-01,ms043663,"She Wolf"
top100-uk,7,2009-10-08,ms043663,"She Wolf"
top100-uk,7,2009-10-15,ms043663,"She Wolf"
top100-uk,12,2009-10-22,ms043663,"She Wolf"
top100-uk,20,2009-10-29,ms043663,"She Wolf"
top100-uk,28,2009-11-05,ms043663,"She Wolf"
top100-uk,35,2009-11-12,ms043663,"She Wolf"
top100-uk,34,2009-11-19,ms043663,"She Wolf"
top100-uk,48,2009-11-26,ms043663,"She Wolf"
top100-uk,63,2009-12-03,ms043663,"She Wolf"
top100-uk,66,2009-12-10,ms043663,"She Wolf"
top100-uk,84,2009-12-17,ms043663,"She Wolf"
top100-uk,86,2009-12-24,ms043663,"She Wolf"
top100-uk,56,2009-12-31,ms043663,"She Wolf"
top100-uk,67,2010-01-07,ms043663,"She Wolf"
top100-uk,80,2010-01-14,ms043663,"She Wolf"
top100-uk,91,2010-01-21,ms043663,"She Wolf"
top100-uk,93,2010-01-28,ms043663,"She Wolf"
top100-uk,26,2009-11-19,ms043687,"DID IT AGAIN"
top100-uk,34,2009-11-26,ms043687,"DID IT AGAIN"
top100-uk,40,2009-12-03,ms043687,"DID IT AGAIN"
top100-uk,38,2009-12-10,ms043687,"DID IT AGAIN"
top100-uk,54,2009-12-17,ms043687,"DID IT AGAIN"
top100-uk,65,2009-12-24,ms043687,"DID IT AGAIN"
top100-uk,69,2009-12-31,ms043687,"DID IT AGAIN"
top100-uk,84,2010-01-07,ms043687,"DID IT AGAIN"
top100-uk,94,2002-09-12,ms046093,"Objection (Tango)"
top100-uk,99,2002-09-26,ms046093,"Objection (Tango)"
top100-uk,90,2002-10-10,ms046093,"Objection (Tango)"
top100-uk,91,2002-10-17,ms046093,"Objection (Tango)"
top100-uk,17,2002-11-14,ms046093,"Objection (Tango)"
top100-uk,30,2002-11-21,ms046093,"Objection (Tango)"
top100-uk,34,2002-11-28,ms046093,"Objection (Tango)"
top100-uk,41,2002-12-05,ms046093,"Objection (Tango)"
top100-uk,48,2002-12-12,ms046093,"Objection (Tango)"
top100-uk,52,2002-12-19,ms046093,"Objection (Tango)"
top100-uk,47,2002-12-26,ms046093,"Objection (Tango)"
top100-uk,54,2003-01-02,ms046093,"Objection (Tango)"
top100-uk,77,2003-01-16,ms046093,"Objection (Tango)"
top100-uk,87,2003-01-23,ms046093,"Objection (Tango)"
top100-uk,95,2003-01-30,ms046093,"Objection (Tango)"
top100-uk,97,2003-02-06,ms046093,"Objection (Tango)"
top100-uk,95,2002-05-30,ms046470,"Underneath Your Clothes"
top100-uk,83,2002-06-06,ms046470,"Underneath Your Clothes"
top100-uk,84,2002-06-13,ms046470,"Underneath Your Clothes"
top100-uk,87,2002-06-20,ms046470,"Underneath Your Clothes"
top100-uk,100,2002-06-27,ms046470,"Underneath Your Clothes"
top100-uk,3,2002-07-25,ms046470,"Underneath Your Clothes"
top100-uk,6,2002-08-01,ms046470,"Underneath Your Clothes"
