91523,Adele,"United Kingdom",2008-01-17,2016-02-20
billboard-us,65,2011-03-12,ms038541,"Someone Like You"
billboard-us,97,2011-07-30,ms038541,"Someone Like You"
billboard-us,85,2011-08-06,ms038541,"Someone Like You"
billboard-us,73,2011-08-13,ms038541,"Someone Like You"
billboard-us,57,2011-08-20,ms038541,"Someone Like You"
billboard-us,51,2011-08-27,ms038541,"Someone Like You"
billboard-us,34,2011-09-03,ms038541,"Someone Like You"
billboard-us,19,2011-09-10,ms038541,"Someone Like You"
billboard-us,1,2011-09-17,ms038541,"Someone Like You"
billboard-us,2,2011-09-24,ms038541,"Someone Like You"
billboard-us,2,2011-10-01,ms038541,"Someone Like You"
billboard-us,2,2011-10-08,ms038541,"Someone Like You"
billboard-us,1,2011-10-15,ms038541,"Someone Like You"
billboard-us,1,2011-10-22,ms038541,"Someone Like You"
billboard-us,1,2011-10-29,ms038541,"Someone Like You"
billboard-us,1,2011-11-05,ms038541,"Someone Like You"
billboard-us,2,2011-11-12,ms038541,"Someone Like You"
billboard-us,3,2011-11-19,ms038541,"Someone Like You"
billboard-us,3,2011-11-26,ms038541,"Someone Like You"
billboard-us,3,2011-12-03,ms038541,"Someone Like You"
billboard-us,5,2011-12-10,ms038541,"Someone Like You"
billboard-us,6,2011-12-17,ms038541,"Someone Like You"
billboard-us,7,2011-12-24,ms038541,"Someone Like You"
billboard-us,7,2011-12-31,ms038541,"Someone Like You"
billboard-us,8,2012-01-07,ms038541,"Someone Like You"
billboard-us,9,2012-01-14,ms038541,"Someone Like You"
billboard-us,10,2012-01-21,ms038541,"Someone Like You"
billboard-us,16,2012-01-28,ms038541,"Someone Like You"
billboard-us,19,2012-02-04,ms038541,"Someone Like You"
billboard-us,21,2012-02-11,ms038541,"Someone Like You"
billboard-us,22,2012-02-18,ms038541,"Someone Like You"
billboard-us,11,2012-02-25,ms038541,"Someone Like You"
billboard-us,7,2012-03-03,ms038541,"Someone Like You"
billboard-us,21,2012-03-10,ms038541,"Someone Like You"
billboard-us,24,2012-03-17,ms038541,"Someone Like You"
billboard-us,29,2012-03-24,ms038541,"Someone Like You"
billboard-us,31,2012-03-31,ms038541,"Someone Like You"
billboard-us,39,2012-04-07,ms038541,"Someone Like You"
billboard-us,48,2012-04-14,ms038541,"Someone Like You"
billboard-us,68,2010-12-25,ms038561,"Rolling In The Deep"
billboard-us,97,2011-01-29,ms038561,"Rolling In The Deep"
billboard-us,84,2011-02-05,ms038561,"Rolling In The Deep"
billboard-us,69,2011-02-12,ms038561,"Rolling In The Deep"
billboard-us,64,2011-02-19,ms038561,"Rolling In The Deep"
billboard-us,41,2011-02-26,ms038561,"Rolling In The Deep"
billboard-us,26,2011-03-05,ms038561,"Rolling In The Deep"
billboard-us,13,2011-03-12,ms038561,"Rolling In The Deep"
billboard-us,18,2011-03-19,ms038561,"Rolling In The Deep"
billboard-us,25,2011-03-26,ms038561,"Rolling In The Deep"
billboard-us,26,2011-04-02,ms038561,"Rolling In The Deep"
billboard-us,17,2011-04-09,ms038561,"Rolling In The Deep"
billboard-us,10,2011-04-16,ms038561,"Rolling In The Deep"
billboard-us,10,2011-04-23,ms038561,"Rolling In The Deep"
billboard-us,6,2011-04-30,ms038561,"Rolling In The Deep"
billboard-us,2,2011-05-07,ms038561,"Rolling In The Deep"
billboard-us,2,2011-05-14,ms038561,"Rolling In The Deep"
billboard-us,1,2011-05-21,ms038561,"Rolling In The Deep"
billboard-us,1,2011-05-28,ms038561,"Rolling In The Deep"
billboard-us,1,2011-06-04,ms038561,"Rolling In The Deep"
billboard-us,1,2011-06-11,ms038561,"Rolling In The Deep"
billboard-us,1,2011-06-18,ms038561,"Rolling In The Deep"
billboard-us,1,2011-06-25,ms038561,"Rolling In The Deep"
billboard-us,1,2011-07-02,ms038561,"Rolling In The Deep"
billboard-us,2,2011-07-09,ms038561,"Rolling In The Deep"
billboard-us,3,2011-07-16,ms038561,"Rolling In The Deep"
billboard-us,3,2011-07-23,ms038561,"Rolling In The Deep"
billboard-us,4,2011-07-30,ms038561,"Rolling In The Deep"
billboard-us,5,2011-08-06,ms038561,"Rolling In The Deep"
billboard-us,6,2011-08-13,ms038561,"Rolling In The Deep"
billboard-us,9,2011-08-20,ms038561,"Rolling In The Deep"
billboard-us,12,2011-08-27,ms038561,"Rolling In The Deep"
billboard-us,13,2011-09-03,ms038561,"Rolling In The Deep"
billboard-us,14,2011-09-10,ms038561,"Rolling In The Deep"
billboard-us,17,2011-09-17,ms038561,"Rolling In The Deep"
billboard-us,17,2011-09-24,ms038561,"Rolling In The Deep"
billboard-us,20,2011-10-01,ms038561,"Rolling In The Deep"
billboard-us,22,2011-10-08,ms038561,"Rolling In The Deep"
billboard-us,21,2011-10-15,ms038561,"Rolling In The Deep"
billboard-us,21,2011-10-22,ms038561,"Rolling In The Deep"
billboard-us,23,2011-10-29,ms038561,"Rolling In The Deep"
billboard-us,27,2011-11-05,ms038561,"Rolling In The Deep"
billboard-us,29,2011-11-12,ms038561,"Rolling In The Deep"
billboard-us,28,2011-11-19,ms038561,"Rolling In The Deep"
billboard-us,34,2011-11-26,ms038561,"Rolling In The Deep"
billboard-us,36,2011-12-03,ms038561,"Rolling In The Deep"
billboard-us,38,2011-12-10,ms038561,"Rolling In The Deep"
billboard-us,36,2011-12-17,ms038561,"Rolling In The Deep"
billboard-us,40,2011-12-24,ms038561,"Rolling In The Deep"
billboard-us,41,2011-12-31,ms038561,"Rolling In The Deep"
billboard-us,35,2012-01-07,ms038561,"Rolling In The Deep"
billboard-us,30,2012-01-14,ms038561,"Rolling In The Deep"
billboard-us,36,2012-01-21,ms038561,"Rolling In The Deep"
billboard-us,40,2012-01-28,ms038561,"Rolling In The Deep"
billboard-us,41,2012-02-04,ms038561,"Rolling In The Deep"
billboard-us,43,2012-02-11,ms038561,"Rolling In The Deep"
billboard-us,44,2012-02-18,ms038561,"Rolling In The Deep"
billboard-us,17,2012-02-25,ms038561,"Rolling In The Deep"
billboard-us,5,2012-03-03,ms038561,"Rolling In The Deep"
billboard-us,23,2012-03-10,ms038561,"Rolling In The Deep"
billboard-us,32,2012-03-17,ms038561,"Rolling In The Deep"
billboard-us,30,2012-03-24,ms038561,"Rolling In The Deep"
billboard-us,33,2012-03-31,ms038561,"Rolling In The Deep"
billboard-us,43,2012-04-07,ms038561,"Rolling In The Deep"
billboard-us,49,2012-04-14,ms038561,"Rolling In The Deep"
billboard-us,88,2011-03-12,ms038634,"Set Fire To The Rain"
billboard-us,84,2011-08-13,ms038634,"Set Fire To The Rain"
billboard-us,88,2011-08-20,ms038634,"Set Fire To The Rain"
billboard-us,92,2011-09-10,ms038634,"Set Fire To The Rain"
billboard-us,80,2011-09-17,ms038634,"Set Fire To The Rain"
billboard-us,72,2011-09-24,ms038634,"Set Fire To The Rain"
