91577,Beyonce,"United States",2002-06-23,2015-04-25
billboard-us,84,2011-06-18,ms038587,"Best Thing I Never Had"
billboard-us,75,2011-06-25,ms038587,"Best Thing I Never Had"
billboard-us,71,2011-07-02,ms038587,"Best Thing I Never Had"
billboard-us,58,2011-07-09,ms038587,"Best Thing I Never Had"
billboard-us,29,2011-07-16,ms038587,"Best Thing I Never Had"
billboard-us,23,2011-07-23,ms038587,"Best Thing I Never Had"
billboard-us,25,2011-07-30,ms038587,"Best Thing I Never Had"
billboard-us,19,2011-08-06,ms038587,"Best Thing I Never Had"
billboard-us,16,2011-08-13,ms038587,"Best Thing I Never Had"
billboard-us,17,2011-08-20,ms038587,"Best Thing I Never Had"
billboard-us,18,2011-08-27,ms038587,"Best Thing I Never Had"
billboard-us,24,2011-09-03,ms038587,"Best Thing I Never Had"
billboard-us,26,2011-09-10,ms038587,"Best Thing I Never Had"
billboard-us,31,2011-09-17,ms038587,"Best Thing I Never Had"
billboard-us,37,2011-09-24,ms038587,"Best Thing I Never Had"
billboard-us,42,2011-10-01,ms038587,"Best Thing I Never Had"
billboard-us,46,2011-10-08,ms038587,"Best Thing I Never Had"
billboard-us,51,2011-10-15,ms038587,"Best Thing I Never Had"
billboard-us,65,2011-10-22,ms038587,"Best Thing I Never Had"
billboard-us,67,2011-10-29,ms038587,"Best Thing I Never Had"
billboard-us,87,2006-11-04,ms043233,Irreplaceable
billboard-us,24,2006-11-11,ms043233,Irreplaceable
billboard-us,9,2006-11-18,ms043233,Irreplaceable
billboard-us,4,2006-11-25,ms043233,Irreplaceable
billboard-us,3,2006-12-02,ms043233,Irreplaceable
billboard-us,2,2006-12-09,ms043233,Irreplaceable
billboard-us,1,2006-12-16,ms043233,Irreplaceable
billboard-us,1,2006-12-23,ms043233,Irreplaceable
billboard-us,1,2006-12-30,ms043233,Irreplaceable
billboard-us,1,2007-01-06,ms043233,Irreplaceable
billboard-us,1,2007-01-13,ms043233,Irreplaceable
billboard-us,1,2007-01-20,ms043233,Irreplaceable
billboard-us,1,2007-01-27,ms043233,Irreplaceable
billboard-us,1,2007-02-03,ms043233,Irreplaceable
billboard-us,1,2007-02-10,ms043233,Irreplaceable
billboard-us,1,2007-02-17,ms043233,Irreplaceable
billboard-us,2,2007-02-24,ms043233,Irreplaceable
billboard-us,9,2007-03-03,ms043233,Irreplaceable
billboard-us,11,2007-03-10,ms043233,Irreplaceable
billboard-us,13,2007-03-17,ms043233,Irreplaceable
billboard-us,14,2007-03-24,ms043233,Irreplaceable
billboard-us,16,2007-03-31,ms043233,Irreplaceable
billboard-us,23,2007-04-07,ms043233,Irreplaceable
billboard-us,28,2007-04-14,ms043233,Irreplaceable
billboard-us,28,2007-04-21,ms043233,Irreplaceable
billboard-us,30,2007-04-28,ms043233,Irreplaceable
billboard-us,35,2007-05-05,ms043233,Irreplaceable
billboard-us,42,2007-05-12,ms043233,Irreplaceable
billboard-us,43,2007-05-19,ms043233,Irreplaceable
billboard-us,49,2007-05-26,ms043233,Irreplaceable
billboard-us,85,2011-10-29,ms043278,Countdown
billboard-us,77,2011-11-05,ms043278,Countdown
billboard-us,83,2011-11-12,ms043278,Countdown
billboard-us,71,2011-11-19,ms043278,Countdown
billboard-us,75,2011-11-26,ms043278,Countdown
billboard-us,73,2011-12-03,ms043278,Countdown
billboard-us,77,2011-12-10,ms043278,Countdown
billboard-us,91,2011-12-17,ms043278,Countdown
billboard-us,91,2011-12-31,ms043278,Countdown
billboard-us,80,2012-01-07,ms043278,Countdown
billboard-us,81,2012-01-14,ms043278,Countdown
billboard-us,89,2012-01-21,ms043278,Countdown
billboard-us,82,2012-01-28,ms043278,Countdown
billboard-us,90,2012-02-04,ms043278,Countdown
billboard-us,91,2012-02-11,ms043278,Countdown
billboard-us,57,2011-06-11,ms043546,1+1
billboard-us,89,2011-06-18,ms043546,1+1
billboard-us,95,2007-01-06,ms043599,Listen
billboard-us,70,2007-01-13,ms043599,Listen
billboard-us,67,2007-01-20,ms043599,Listen
billboard-us,68,2007-01-27,ms043599,Listen
billboard-us,61,2007-02-03,ms043599,Listen
billboard-us,75,2007-02-10,ms043599,Listen
billboard-us,84,2007-02-17,ms043599,Listen
billboard-us,91,2007-02-24,ms043599,Listen
billboard-us,81,2007-03-03,ms043599,Listen
billboard-us,82,2007-03-10,ms043599,Listen
billboard-us,71,2007-03-17,ms043599,Listen
billboard-us,90,2007-03-24,ms043599,Listen
billboard-us,65,2009-12-12,ms043659,"Video Phone"
billboard-us,81,2009-12-19,ms043659,"Video Phone"
billboard-us,97,2009-12-26,ms043659,"Video Phone"
billboard-us,100,2010-01-02,ms043659,"Video Phone"
billboard-us,98,2010-01-09,ms043659,"Video Phone"
